,zone,month,min_value,min_model,median_value,median_model,max_value,max_model,confidence_intervals
186,Changji Hui AP,Temp_max_jul,30.68908476529757,CMCC-ESM2,31.726444624895223,INM-CM5-0,33.07726385687343,UKESM1-0-LL,"(31.472009585860047, 32.324345050963736)"
187,East Kazakhstan Region,Temp_max_jul,27.784752968404103,CMCC-ESM2,28.932295859327837,FIO-ESM-2-0,30.721737271080706,UKESM1-0-LL,"(28.71513028367398, 29.73690406002619)"
188,Govi-Altai,Temp_max_jul,25.56027785181237,CMCC-ESM2,27.29539578891258,MIROC6,28.437430037313437,UKESM1-0-LL,"(26.731765423033234, 27.77121632003713)"
189,Ili Kazakh Autonomous Prefecture,Temp_max_jul,27.17451200461608,CMCC-ESM2,28.27608505967125,EC-Earth3-Veg,29.64916755798244,UKESM1-0-LL,"(28.03946671747743, 28.90977456350572)"
190,Khovd,Temp_max_jul,23.547828851744185,CMCC-ESM2,25.371084665697676,GFDL-ESM4,26.51309956395349,UKESM1-0-LL,"(24.713677308406574, 25.813990681307203)"
191,Pavlodar Region,Temp_max_jul,29.019244050148743,MPI-ESM1-2-HR,30.021920155121123,EC-Earth3-Veg,32.01049856566086,UKESM1-0-LL,"(29.68384942523947, 30.748038876110687)"
192,Tyva Republic,Temp_max_jul,21.0787364076514,CMCC-ESM2,22.036280161123894,GISS-E2-1-G,23.65494285260735,UKESM1-0-LL,"(21.81338241062828, 22.641890291112396)"
193,Uvs,Temp_max_jul,24.253787262024048,CMCC-ESM2,25.751443512024046,INM-CM5-0,27.171439754509016,UKESM1-0-LL,"(25.353122748736677, 26.405896732533552)"
194,Zavkhan,Temp_max_jul,21.613913133379768,CMCC-ESM2,23.34384522462128,GFDL-ESM4,24.63628819867665,UKESM1-0-LL,"(22.892695478839862, 23.895831356504843)"
195,Almaty Region,Temp_max_jul_std,5.572145003101549,GFDL-ESM4,5.654786915602721,GISS-E2-1-G,5.772915366846044,MIROC6,"(5.632382576559263, 5.708345614138419)"
196,Altai Republic,Temp_max_jul_std,3.6727262012850814,EC-Earth3-Veg,3.7956429786764656,GFDL-ESM4,3.9742751636614457,UKESM1-0-LL,"(3.758002161406212, 3.854409734644825)"
197,Altai krai,Temp_max_jul_std,1.3725306192500295,GISS-E2-1-G,1.4379585469355638,CMCC-ESM2,1.5247116119742925,EC-Earth3-Veg,"(1.406199001161364, 1.4653437966080312)"
198,Altay Prefecture,Temp_max_jul_std,5.801333112125352,BCC-CSM2-MR,5.846225603344643,FIO-ESM-2-0,5.96285493769025,MIROC6,"(5.82784753457882, 5.882988163819184)"
199,BayanUlgii,Temp_max_jul_std,3.236718055301771,MIROC6,3.284625545896045,BCC-CSM2-MR,3.4722526277822743,GISS-E2-1-G,"(3.2603350240108844, 3.3310027262255115)"
200,Bortala Mongol AP,Temp_max_jul_std,7.693383190132818,GFDL-ESM4,7.795829830365863,FIO-ESM-2-0,7.89373506097749,MRI-ESM2-0,"(7.768759955691626, 7.8287073093973705)"
201,Changji Hui AP,Temp_max_jul_std,5.876594361536064,GFDL-ESM4,5.941205028188327,CMCC-ESM2,6.034031958120892,MIROC6,"(5.928604262622657, 5.982000497637929)"
202,East Kazakhstan Region,Temp_max_jul_std,3.725241016595128,BCC-CSM2-MR,3.7531903576422274,FIO-ESM-2-0,3.970391575851574,GFDL-ESM4,"(3.7394201797828246, 3.831391598979462)"
203,Govi-Altai,Temp_max_jul_std,4.155110875020874,GISS-E2-1-G,4.192672141724409,INM-CM5-0,4.236500434561348,CMCC-ESM2,"(4.181249326899522, 4.207775615532283)"
204,Ili Kazakh Autonomous Prefecture,Temp_max_jul_std,6.605516460267981,GFDL-ESM4,6.6753037656191605,HadGEM3-GC31-LL,6.830399014232536,MIROC6,"(6.654199381487598, 6.725478909240869)"
205,Khovd,Temp_max_jul_std,4.491498134551229,GFDL-ESM4,4.562089280625415,MPI-ESM1-2-HR,4.673654581910952,GISS-E2-1-G,"(4.5376271680933895, 4.591727016108135)"
