,zone,month,min_value,min_model,median_value,median_model,max_value,max_model,confidence_intervals
41,Pavlodar Region,Temp_min_feb,-19.21784025711857,MPI-ESM1-2-HR,-17.95056178283043,ACCESS-CM2,-14.703188084360391,HadGEM3-GC31-LL,"(-18.27462238955179, -16.79524111325968)"
42,Tyva Republic,Temp_min_feb,-28.534581117549013,MPI-ESM1-2-HR,-27.162966802920867,GISS-E2-1-G,-26.05981377490277,HadGEM3-GC31-LL,"(-27.571036189376844, -26.59623097773655)"
43,Uvs,Temp_min_feb,-30.11845566132265,GFDL-ESM4,-27.842744864729458,FIO-ESM-2-0,-27.02220378256513,HadGEM3-GC31-LL,"(-28.69182462379206, -27.53596894411298)"
44,Zavkhan,Temp_min_feb,-28.455581795228973,GFDL-ESM4,-27.21069127633641,MIROC6,-25.7107076005572,ACCESS-CM2,"(-27.650690353011846, -26.59168288732087)"
45,Almaty Region,Temp_min_feb_std,3.2693808255379646,ACCESS-CM2,3.3545204685739383,CMCC-ESM2,3.593133003709056,UKESM1-0-LL,"(3.326709574907099, 3.430610818810008)"
46,Altai Republic,Temp_min_feb_std,3.8177211535506026,ACCESS-CM2,4.032942228874348,BCC-CSM2-MR,4.286747995711066,GFDL-ESM4,"(3.9854880990766945, 4.138614109941918)"
47,Altai krai,Temp_min_feb_std,0.741747815437891,GFDL-ESM4,0.8527032998395851,INM-CM5-0,0.9279418759986796,HadGEM3-GC31-LL,"(0.8169408291274275, 0.8903829313636552)"
48,Altay Prefecture,Temp_min_feb_std,2.75922173320427,GISS-E2-1-G,3.064726373206417,HadGEM3-GC31-LL,3.287619392928974,UKESM1-0-LL,"(2.9786661275828634, 3.136150892076976)"
49,BayanUlgii,Temp_min_feb_std,2.0531438068967085,MRI-ESM2-0,2.149835742817193,MIROC6,2.3898286642318576,GISS-E2-1-G,"(2.104396653770635, 2.231858878893029)"
50,Bortala Mongol AP,Temp_min_feb_std,3.0896622576567405,UKESM1-0-LL,3.3377376853636296,ACCESS-CM2,3.3951682128166607,EC-Earth3-Veg,"(3.267169526704831, 3.3595332467081436)"
51,Changji Hui AP,Temp_min_feb_std,1.9391475224219152,MPI-ESM1-2-HR,1.9880698561196264,MIROC6,2.0770667916029963,INM-CM5-0,"(1.9789881575512076, 2.0347333453624374)"
52,East Kazakhstan Region,Temp_min_feb_std,1.69551310267371,CMCC-ESM2,1.8245864432592165,HadGEM3-GC31-LL,1.9528485772037527,ACCESS-CM2,"(1.7729204059244517, 1.8737808077855946)"
53,Govi-Altai,Temp_min_feb_std,2.5745446148466944,ACCESS-CM2,2.85546547601042,EC-Earth3-Veg,3.0178159893762597,FIO-ESM-2-0,"(2.7508529119834346, 2.9036772574594103)"
54,Ili Kazakh Autonomous Prefecture,Temp_min_feb_std,3.3650842317722014,GISS-E2-1-G,3.618134410720092,EC-Earth3-Veg,3.7766983039962105,FIO-ESM-2-0,"(3.5509939668918507, 3.6664534728124347)"
55,Khovd,Temp_min_feb_std,2.2206078097741657,GFDL-ESM4,2.6477627740598075,CMCC-ESM2,2.8660583127046504,UKESM1-0-LL,"(2.502383425630178, 2.70857339211898)"
56,Pavlodar Region,Temp_min_feb_std,0.8552887137958047,MPI-ESM1-2-HR,1.1020845031486213,BCC-CSM2-MR,1.2755194101597631,UKESM1-0-LL,"(1.0051222105733444, 1.1531378053428447)"
57,Tyva Republic,Temp_min_feb_std,2.085579778314673,BCC-CSM2-MR,2.193943055002491,FIO-ESM-2-0,2.4071878270811373,GFDL-ESM4,"(2.159716211062618, 2.2653738562823977)"
