,zone,month,min_value,min_model,median_value,median_model,max_value,max_model,confidence_intervals
242,Altai krai,Prec_sep,37.23075725737412,GFDL-ESM4,42.14063351233559,FIO-ESM-2-0,54.13596388824033,BCC-CSM2-MR,"(39.422685383654546, 44.534090659976506)"
243,Altay Prefecture,Prec_sep,18.217813051146383,GFDL-ESM4,19.872511967750064,GISS-E2-1-G,23.888133030990176,BCC-CSM2-MR,"(19.20457527849497, 20.881418093212687)"
244,BayanUlgii,Prec_sep,16.812383900928793,GFDL-ESM4,17.96439628482972,EC-Earth3-Veg,22.66625386996904,BCC-CSM2-MR,"(17.556771965417898, 19.467186119840495)"
245,Bortala Mongol AP,Prec_sep,23.137866500311915,GFDL-ESM4,25.308796007485963,EC-Earth3-Veg,29.152214597629445,CMCC-ESM2,"(24.710358378165335, 26.756986504026703)"
246,Changji Hui AP,Prec_sep,17.080888516345347,GFDL-ESM4,18.544425817267392,GISS-E2-1-G,20.014249790444257,BCC-CSM2-MR,"(17.930720566455783, 18.911983669794132)"
247,East Kazakhstan Region,Prec_sep,23.485107667538745,GFDL-ESM4,26.7059770577581,EC-Earth3-Veg,33.402646407727914,BCC-CSM2-MR,"(25.507070361205898, 28.22044020430024)"
248,Govi-Altai,Prec_sep,8.67142857142857,GFDL-ESM4,9.168550106609809,MIROC6,10.112579957356076,BCC-CSM2-MR,"(8.96616240804387, 9.50541377696515)"
249,Ili Kazakh Autonomous Prefecture,Prec_sep,21.077854086917363,GFDL-ESM4,22.596205809502365,ACCESS-CM2,25.86416347669444,BCC-CSM2-MR,"(22.117078077445715, 23.64098057185365)"
250,Khovd,Prec_sep,11.179651162790698,GFDL-ESM4,11.934496124031009,INM-CM5-0,13.804457364341085,BCC-CSM2-MR,"(11.723203335488995, 12.603660111141897)"
251,Pavlodar Region,Prec_sep,19.886102847428813,GFDL-ESM4,22.70537611559711,FIO-ESM-2-0,26.9339141521462,BCC-CSM2-MR,"(21.583958564753164, 23.804187500825964)"
252,Tyva Republic,Prec_sep,38.06333836018732,GFDL-ESM4,40.387808556234624,ACCESS-CM2,53.41011191364394,BCC-CSM2-MR,"(38.753833843809375, 43.49832292076901)"
253,Uvs,Prec_sep,17.462124248496995,HadGEM3-GC31-LL,18.195190380761524,MPI-ESM1-2-HR,22.59438877755511,BCC-CSM2-MR,"(17.79228502408706, 19.472367357599385)"
254,Zavkhan,Prec_sep,18.713041964130245,MPI-ESM1-2-HR,19.627198328399796,CMCC-ESM2,23.85181960647745,BCC-CSM2-MR,"(19.110153721111196, 20.697397947140466)"
255,Almaty Region,Prec_sep_std,11.382145207240836,GFDL-ESM4,13.014609161656674,EC-Earth3-Veg,16.016439882772378,CMCC-ESM2,"(12.46551565917281, 13.782665671365203)"
256,Altai Republic,Prec_sep_std,15.978751100187104,GFDL-ESM4,19.223099232487613,FIO-ESM-2-0,27.57239075621572,BCC-CSM2-MR,"(18.036051056562602, 21.393866702770556)"
257,Altai krai,Prec_sep_std,10.868083855534968,GFDL-ESM4,13.807626398265665,FIO-ESM-2-0,19.43050074441495,BCC-CSM2-MR,"(12.406013043957907, 14.864116190736729)"
258,Altay Prefecture,Prec_sep_std,5.158173367199688,GFDL-ESM4,6.160358890987449,EC-Earth3-Veg,8.558813925361349,BCC-CSM2-MR,"(5.739319457248557, 6.737970822410178)"
259,BayanUlgii,Prec_sep_std,5.160288488946387,GFDL-ESM4,5.999503640962904,UKESM1-0-LL,7.641993760076522,BCC-CSM2-MR,"(5.652849282136509, 6.395262434601018)"
260,Bortala Mongol AP,Prec_sep_std,10.85366083525654,GFDL-ESM4,12.180170134981042,MIROC6,13.967944310844516,CMCC-ESM2,"(11.749834641213653, 12.738972282388808)"
261,Changji Hui AP,Prec_sep_std,7.770680916983103,MPI-ESM1-2-HR,8.538617534243645,ACCESS-CM2,9.568526772146708,FIO-ESM-2-0,"(8.25806220986417, 9.040896744972377)"
262,East Kazakhstan Region,Prec_sep_std,9.678538581299955,GFDL-ESM4,11.703234103274095,UKESM1-0-LL,16.08830003786039,BCC-CSM2-MR,"(10.767210962185038, 12.647916843484031)"
263,Govi-Altai,Prec_sep_std,3.93872771305192,GFDL-ESM4,4.370635237344972,GISS-E2-1-G,5.074993204959707,BCC-CSM2-MR,"(4.2020804084163945, 4.569561754334426)"
264,Ili Kazakh Autonomous Prefecture,Prec_sep_std,8.699683481049496,GFDL-ESM4,9.556574022968976,MIROC6,10.549326633274662,BCC-CSM2-MR,"(9.183874991383814, 9.928516709296087)"
265,Khovd,Prec_sep_std,3.772566810996046,GFDL-ESM4,4.0835357313444085,UKESM1-0-LL,4.73228433376779,BCC-CSM2-MR,"(4.003409001540835, 4.31567484508953)"
266,Pavlodar Region,Prec_sep_std,1.7006630495050874,GFDL-ESM4,2.1852659128104177,EC-Earth3-Veg,2.954911921180884,HadGEM3-GC31-LL,"(2.0697777534092507, 2.4878454405015527)"
267,Tyva Republic,Prec_sep_std,10.285237912252224,INM-CM5-0,11.75828057991292,EC-Earth3-Veg,15.931399965504538,BCC-CSM2-MR,"(11.026494516316358, 12.80618722667434)"
268,Uvs,Prec_sep_std,5.350534268178458,GFDL-ESM4,5.550749100711894,CMCC-ESM2,7.054341645345284,BCC-CSM2-MR,"(5.431671899994687, 5.972228675152524)"
269,Zavkhan,Prec_sep_std,4.939734872050048,CMCC-ESM2,5.413926006388111,FIO-ESM-2-0,6.717022207683893,BCC-CSM2-MR,"(5.247690999222743, 5.76305037090881)"
270,Almaty Region,Prec_oct,27.48980426924913,MPI-ESM1-2-HR,29.319375298370048,GISS-E2-1-G,31.867148605333156,BCC-CSM2-MR,"(28.821249971538943, 30.22379800374159)"
271,Altai Republic,Prec_oct,39.31402170724553,HadGEM3-GC31-LL,41.53461425638017,MRI-ESM2-0,52.62980346142564,BCC-CSM2-MR,"(40.19286085510611, 44.160863449336894)"
272,Altai krai,Prec_oct,40.0008560977508,GFDL-ESM4,42.0090279399175,GISS-E2-1-G,53.099696474433806,BCC-CSM2-MR,"(40.746735311469536, 44.78567966245839)"
273,Altay Prefecture,Prec_oct,15.383723859914337,HadGEM3-GC31-LL,16.930209120685312,EC-Earth3-Veg,18.089569160997733,BCC-CSM2-MR,"(16.474453759577834, 17.25634454264904)"
